airline_code,airline_name,flight_number,origin_airport,origin_city,origin_country,origin_region,origin_latitude,origin_longitude,destination_airport,destination_city,destination_country,destination_region,destination_latitude,destination_longitude,distance_km,seats,aircraft_type,codeshare,stops,flight_date,flight_year,flight_month,flight_quarter
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-08-01,2024,8,3
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-09-01,2024,9,3
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-10-01,2024,10,4
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-11-01,2024,11,4
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2024-12-01,2024,12,4
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-01-01,2025,1,1
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-02-01,2025,2,1
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-03-01,2025,3,1
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-04-01,2025,4,2
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-05-01,2025,5,2
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-06-01,2025,6,2
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-07-01,2025,7,3
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-08-01,2025,8,3
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-09-01,2025,9,3
2B,Aerocondor,2B1334,AER,Sochi,Russia,Other,43.449902,39.9566,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1506.83,262,CR2,0,0,2025-10-01,2025,10,4
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2023-10-20,2023,10,4
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2023-11-01,2023,11,4
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2023-12-01,2023,12,4
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-01-01,2024,1,1
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-02-01,2024,2,1
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-03-01,2024,3,1
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-04-01,2024,4,2
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-05-01,2024,5,2
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-06-01,2024,6,2
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-07-01,2024,7,3
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-08-01,2024,8,3
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-09-01,2024,9,3
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-10-01,2024,10,4
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-11-01,2024,11,4
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2024-12-01,2024,12,4
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-01-01,2025,1,1
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-02-01,2025,2,1
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-03-01,2025,3,1
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-04-01,2025,4,2
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-05-01,2025,5,2
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-06-01,2025,6,2
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-07-01,2025,7,3
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-08-01,2025,8,3
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-09-01,2025,9,3
2B,Aerocondor,2B6656,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,1040.44,172,CR2,0,0,2025-10-01,2025,10,4
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2023-10-20,2023,10,4
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2023-11-01,2023,11,4
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2023-12-01,2023,12,4
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-01-01,2024,1,1
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-02-01,2024,2,1
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-03-01,2024,3,1
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-04-01,2024,4,2
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-05-01,2024,5,2
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-06-01,2024,6,2
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-07-01,2024,7,3
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-08-01,2024,8,3
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-09-01,2024,9,3
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-10-01,2024,10,4
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-11-01,2024,11,4
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2024-12-01,2024,12,4
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-01-01,2025,1,1
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-02-01,2025,2,1
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-03-01,2025,3,1
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-04-01,2025,4,2
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-05-01,2025,5,2
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-06-01,2025,6,2
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-07-01,2025,7,3
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-08-01,2025,8,3
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-09-01,2025,9,3
2B,Aerocondor,2B8049,ASF,Astrakhan,Russia,Other,46.2832984924,48.0063018799,MRV,Mineralnye Vody,Russia,Other,44.225101470947266,43.08190155029297,448.16,135,CR2,0,0,2025-10-01,2025,10,4
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2023-10-20,2023,10,4
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2023-11-01,2023,11,4
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2023-12-01,2023,12,4
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-01-01,2024,1,1
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-02-01,2024,2,1
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-03-01,2024,3,1
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-04-01,2024,4,2
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-05-01,2024,5,2
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-06-01,2024,6,2
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-07-01,2024,7,3
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-08-01,2024,8,3
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-09-01,2024,9,3
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-10-01,2024,10,4
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-11-01,2024,11,4
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2024-12-01,2024,12,4
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-01-01,2025,1,1
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-02-01,2025,2,1
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-03-01,2025,3,1
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-04-01,2025,4,2
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-05-01,2025,5,2
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-06-01,2025,6,2
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-07-01,2025,7,3
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-08-01,2025,8,3
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-09-01,2025,9,3
2B,Aerocondor,2B1392,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,770.51,167,CR2,0,0,2025-10-01,2025,10,4
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2023-10-20,2023,10,4
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2023-11-01,2023,11,4
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2023-12-01,2023,12,4
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-01-01,2024,1,1
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-02-01,2024,2,1
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-03-01,2024,3,1
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-04-01,2024,4,2
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-05-01,2024,5,2
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-06-01,2024,6,2
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-07-01,2024,7,3
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-08-01,2024,8,3
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-09-01,2024,9,3
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-10-01,2024,10,4
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-11-01,2024,11,4
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2024-12-01,2024,12,4
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-01-01,2025,1,1
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-02-01,2025,2,1
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-03-01,2025,3,1
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-04-01,2025,4,2
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-05-01,2025,5,2
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-06-01,2025,6,2
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-07-01,2025,7,3
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-08-01,2025,8,3
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-09-01,2025,9,3
2B,Aerocondor,2B534,CEK,Chelyabinsk,Russia,Other,55.305801,61.5033,OVB,Novosibirsk,Russia,Other,55.012599945068,82.650703430176,1338.63,179,CR2,0,0,2025-10-01,2025,10,4
2B,Aerocondor,2B683,DME,Moscow,Russia,Other,55.40879821777344,37.90629959106445,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,715.65,153,CR2,0,0,2023-10-20,2023,10,4
2B,Aerocondor,2B683,DME,Moscow,Russia,Other,55.40879821777344,37.90629959106445,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,715.65,153,CR2,0,0,2023-11-01,2023,11,4
2B,Aerocondor,2B683,DME,Moscow,Russia,Other,55.40879821777344,37.90629959106445,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,715.65,153,CR2,0,0,2023-12-01,2023,12,4
2B,Aerocondor,2B683,DME,Moscow,Russia,Other,55.40879821777344,37.90629959106445,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,715.65,153,CR2,0,0,2024-01-01,2024,1,1
2B,Aerocondor,2B683,DME,Moscow,Russia,Other,55.40879821777344,37.90629959106445,KZN,Kazan,Russia,Other,55.606201171875,49.278701782227,715.65,153,CR2,0,0,2024-02-01,2024,2,1
